date,wd,regime,severity,score,priority_date,priority_admin_no,priority_structure,location_structure,water_source,date_time_set,date_time_released,year,month,doy
2005-01-08,1,Free River,0,0,,,,,,,,2005,1,8
2005-01-08,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,8
2005-01-08,69,Free River,0,0,,,,,,,,2005,1,8
2005-01-09,1,Free River,0,0,,,,,,,,2005,1,9
2005-01-09,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,9
2005-01-09,69,Free River,0,0,,,,,,,,2005,1,9
2005-01-10,1,Free River,0,0,,,,,,,,2005,1,10
2005-01-10,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,10
2005-01-10,69,Free River,0,0,,,,,,,,2005,1,10
2005-01-11,1,Free River,0,0,,,,,,,,2005,1,11
2005-01-11,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,11
2005-01-11,69,Free River,0,0,,,,,,,,2005,1,11
2005-01-12,1,Free River,0,0,,,,,,,,2005,1,12
2005-01-12,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,12
2005-01-12,69,Free River,0,0,,,,,,,,2005,1,12
2005-01-13,1,Free River,0,0,,,,,,,,2005,1,13
2005-01-13,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,13
2005-01-13,69,Free River,0,0,,,,,,,,2005,1,13
2005-01-14,1,Free River,0,0,,,,,,,,2005,1,14
2005-01-14,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,14
2005-01-14,69,Free River,0,0,,,,,,,,2005,1,14
2005-01-15,1,Free River,0,0,,,,,,,,2005,1,15
2005-01-15,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,15
2005-01-15,69,Free River,0,0,,,,,,,,2005,1,15
2005-01-16,1,Free River,0,0,,,,,,,,2005,1,16
2005-01-16,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,16
2005-01-16,69,Free River,0,0,,,,,,,,2005,1,16
2005-01-17,1,Free River,0,0,,,,,,,,2005,1,17
2005-01-17,3,Mild Administration,1,25,03/05/1901,18691.0,FOSSIL CREEK RES,FOSSIL CREEK RES,FOSSIL CREEK,11/01/2004 08:00,04/15/2005 01:00,2005,1,17
2005-01-17,69,Free River,0,0,,,,,,,,2005,1,17
